latitude,longitude,latitude_CBD,longitude_CBD,distance_to_CBD,rents per bedroom/week
51.49623,-0.13808,51.515243,-0.141953,2157.561759,$75.00 
51.53031,-0.14595,51.515243,-0.141953,1733.319307,$75.00 
51.51688,-0.18513,51.515243,-0.141953,4804.515731,$76.00 
51.48451,-0.19982,51.515243,-0.141953,7285.687167,$77.00 
51.48254,-0.2004,51.515243,-0.141953,7447.180548,$77.00 
51.4631,-0.22924,51.515243,-0.141953,11305.78608,$78.00 
51.59497,-0.2269,51.515243,-0.141953,12954.23506,$78.00 
51.56007,-0.14073,51.515243,-0.141953,4986.377836,$78.00 
51.5422,-0.20218,51.515243,-0.141953,7337.15306,$79.00 
51.64553,-0.14404,51.515243,-0.141953,14489.07527,$79.00 
51.57419,-0.13958,51.515243,-0.141953,6559.901027,$80.00 
51.56956,-0.10778,51.515243,-0.141953,7135.669766,$80.00 
51.43923,-0.10421,51.515243,-0.141953,9436.840411,$80.00 
51.50247,-0.03711,51.515243,-0.141953,11744.21534,$80.00 
51.50175,-0.26602,51.515243,-0.141953,13876.97412,$80.00 
51.51986,-0.03748,51.515243,-0.141953,11628.21345,$80.00 
51.55504,-0.04467,51.515243,-0.141953,11687.53165,$80.00 
51.52898,-0.05114,51.515243,-0.141953,10212.82671,$80.00 
51.52492,-0.07301,51.515243,-0.141953,7741.265504,$80.00 
51.49494,-0.11211,51.515243,-0.141953,4013.530803,$83.33 
51.54777,-0.23534,51.515243,-0.141953,10996.00998,$83.33 
51.49352,-0.09411,51.515243,-0.141953,5842.596213,$84.50 
51.52924,-0.12825,51.515243,-0.141953,2178.080473,$85.00 
51.56523,-0.04897,51.515243,-0.141953,11738.59863,$85.00 
51.41859,-0.23031,51.515243,-0.141953,14561.28556,$85.00 
51.46544,-0.25762,51.515243,-0.141953,14003.12967,$85.00 
51.58011,-0.21045,51.515243,-0.141953,10489.82617,$85.00 
51.51285,-0.0505,51.515243,-0.141953,10172.59672,$85.00 
51.45918,-0.13152,51.515243,-0.141953,6340.933937,$85.00 
51.48904,-0.01928,51.515243,-0.141953,13948.3307,$86.00 
51.47925,-0.16761,51.515243,-0.141953,4914.978101,$87.50 
51.43483,-0.22051,51.515243,-0.141953,12500.09671,$88.00 
51.6456,-0.14305,51.515243,-0.141953,14495.51422,$89.00 
51.4926,-0.16398,51.515243,-0.141953,3512.582845,$89.00 
51.53033,-0.21734,51.515243,-0.141953,8548.87357,$90.00 
51.42053,-0.18494,51.515243,-0.141953,11565.53108,$90.00 
51.5957,-0.24002,51.515243,-0.141953,14104.83514,$90.00 
51.53285,-0.06625,51.515243,-0.141953,8642.46988,$90.00 
51.54724,-0.13844,51.515243,-0.141953,3579.275569,$90.00 
51.50676,-0.05671,51.515243,-0.141953,9525.414259,$91.00 
51.54167,-0.14058,51.515243,-0.141953,2942.504627,$91.67 
51.52407,-0.10554,51.515243,-0.141953,4166.211406,$93.00 
51.53862,-0.0991,51.515243,-0.141953,5427.935777,$95.00 
51.4911,-0.13579,51.515243,-0.141953,2770.661022,$95.00 
51.50414,-0.05747,51.515243,-0.141953,9474.866712,$96.00 
51.48566,-0.18415,51.515243,-0.141953,5730.299754,$97.50 
51.53967,-0.09674,51.515243,-0.141953,5714.267481,$99.00 
51.48311,-0.18428,51.515243,-0.141953,5909.147281,$99.00 
51.46216,-0.13707,51.515243,-0.141953,5927.467715,$99.00 
51.54632,-0.07488,51.515243,-0.141953,8219.83439,$99.00 
51.50177,-0.21433,51.515243,-0.141953,8186.209561,$99.50 
51.45618,-0.02432,51.515243,-0.141953,14636.38752,$99.50 
51.52262,-0.13704,51.515243,-0.141953,985.5502198,$100.00 
51.50403,-0.14913,51.515243,-0.141953,1480.35518,$100.00 
51.49819,-0.13836,51.515243,-0.141953,1937.834869,$100.00 
51.53529,-0.13751,51.515243,-0.141953,2283.210332,$100.00 
51.49383,-0.12021,51.515243,-0.141953,3393.310945,$100.00 
51.54029,-0.16415,51.515243,-0.141953,3721.385838,$100.00 
51.52423,-0.18481,51.515243,-0.141953,4869.131992,$100.00 
51.49039,-0.19595,51.515243,-0.141953,6609.642719,$100.00 
51.53261,-0.08277,51.515243,-0.141953,6858.34256,$100.00 
51.50414,-0.08274,51.515243,-0.141953,6698.93859,$100.00 
51.57204,-0.08339,51.515243,-0.141953,9071.438386,$100.00 
51.53076,-0.01223,51.515243,-0.141953,14527.37585,$100.00 
51.49727,-0.01373,51.515243,-0.141953,14397.13998,$100.00 
51.54118,-0.02334,51.515243,-0.141953,13500.81807,$100.00 
51.51505,-0.2116,51.515243,-0.141953,7744.427653,$100.00 
51.55233,-0.09507,51.515243,-0.141953,6647.059315,$100.00 
51.54694,-0.12359,51.515243,-0.141953,4073.282178,$100.00 
51.54359,-0.12843,51.515243,-0.141953,3492.337103,$100.00 
51.52157,-0.16139,51.515243,-0.141953,2272.918154,$100.00 
51.52842,-0.11141,51.515243,-0.141953,3698.81347,$102.00 
51.48642,-0.10775,51.515243,-0.141953,4973.546726,$103.00 
51.49389,-0.20418,51.515243,-0.141953,7315.366911,$103.50 
51.48851,-0.18624,51.515243,-0.141953,5752.107717,$104.00 
51.46309,-0.13494,51.515243,-0.141953,5851.332272,$104.33 
51.51762,-0.21359,51.515243,-0.141953,7970.059761,$105.00 
51.49038,-0.1395,51.515243,-0.141953,2778.055863,$106.00 
51.50067,-0.23288,51.515243,-0.141953,10239.65746,$106.00 
51.49061,-0.04593,51.515243,-0.141953,11023.00898,$107.00 
51.51223,-0.12534,51.515243,-0.141953,1877.417764,$110.00 
51.51828,-0.1128,51.515243,-0.141953,3259.210026,$110.00 
51.54838,-0.16344,51.515243,-0.141953,4391.488688,$110.00 
51.509,-0.19948,51.515243,-0.141953,6434.271645,$110.00 
51.47013,-0.04266,51.515243,-0.141953,12127.0272,$110.00 
51.42924,-0.21411,51.515243,-0.141953,12483.11568,$110.00 
51.63174,-0.18855,51.515243,-0.141953,13951.62005,$110.00 
51.49126,-0.17969,51.515243,-0.141953,4971.871117,$110.00 
51.51779,-0.13768,51.515243,-0.141953,553.140072,$110.50 
51.52932,-0.08094,51.515243,-0.141953,6962.57191,$112.50 
51.48147,-0.14934,51.515243,-0.141953,3844.156812,$114.00 
51.51843,-0.12642,51.515243,-0.141953,1763.171934,$116.00 
51.52085,-0.14709,51.515243,-0.141953,845.5720459,$116.67 
51.5308,-0.11117,51.515243,-0.141953,3835.199777,$116.67 
51.49368,-0.13027,51.515243,-0.141953,2727.006121,$117.00 
51.52518,-0.07722,51.515243,-0.141953,7282.300375,$119.00 
51.49694,-0.18981,51.515243,-0.141953,5697.361417,$119.00 
51.48935,-0.26395,51.515243,-0.141953,13867.62603,$119.33 
51.51925,-0.1471,51.515243,-0.141953,725.3081126,$120.00 
51.50226,-0.11054,51.515243,-0.141953,3779.541043,$120.00 
51.49595,-0.2293,51.515243,-0.141953,9946.647138,$120.00 
51.56931,-0.02936,51.515243,-0.141953,13888.43906,$120.00 
51.4642,-0.07367,51.515243,-0.141953,9479.627224,$120.00 
51.52132,-0.06057,51.515243,-0.141953,9074.576297,$120.00 
51.48874,-0.10621,51.515243,-0.141953,4947.825809,$120.00 
51.51386,-0.13494,51.515243,-0.141953,794.8291724,$120.00 
51.4861,-0.18668,51.515243,-0.141953,5935.990476,$121.00 
51.54012,-0.11532,51.515243,-0.141953,4052.412076,$121.00 
51.50862,-0.12717,51.515243,-0.141953,1801.225098,$125.00 
51.51334,-0.12649,51.515243,-0.141953,1732.380077,$125.00 
51.51334,-0.12649,51.515243,-0.141953,1732.380077,$125.00 
