weekly_rents_per_bedroom,latitude,longitude,distance_to_CBD,bedrooms
52.5,51.5377,-0.00068,15906.08468,2
110,51.63174,-0.18855,13951.62005,1
100,51.43929,0.00457,18351.503,1
50,51.56021,-0.04736,11646.24425,1
77,51.55194,-0.12384,4550.503972,1
115,51.51695,-0.19649,6067.21127,1
24,51.44259,-0.04576,13404.20898,1
166.67,51.55653,-0.17348,5776.312476,3
150,51.47833,-0.1032,5951.124794,1
140,51.47761,-0.10295,6026.596603,1
140,51.4792,-0.10353,5858.003733,1
41.5,51.53914,-0.19899,6876.382633,2
115,51.52,-0.10495,4148.409455,1
79.5,51.49828,-0.01929,13769.31503,2
90,51.54143,-0.14646,2954.665815,2
46,51.53772,-0.14038,2505.4353,1
49,51.53806,-0.10077,5235.210369,1
120,51.55715,-0.06981,9277.159548,1
24,51.46542,-0.00746,15948.12985,1
250,51.47393,0.05775,22676.16072,1
29,51.42389,-0.01298,17574.22933,1
89,51.4275,-0.15909,9940.889563,2
40,51.56242,-0.08207,8476.850807,1
32,51.44057,-0.1346,8343.399147,1
25,51.60896,-0.29285,19751.60927,1
150,51.50172,0.08596,25387.35594,1
55,51.56948,-0.07928,9216.14791,1
90,51.50083,-0.10557,4351.485949,2
18,51.38483,-0.12667,14600.47362,1
43.5,51.51559,-0.05684,9464.218387,2
49.5,51.52238,-0.10966,3677.469917,2
50,51.55816,-0.05439,10843.16353,1
50,51.5583,-0.05301,10987.93426,1
90.5,51.51367,0.04656,20962.4321,2
114,51.48147,-0.14934,3844.156812,1
70,51.47685,-0.18217,6182.496437,1
150,51.47611,0.05917,22783.26899,1
70,51.52487,-0.08645,6263.804664,2
155,51.52399,-0.07717,7268.910524,1
50,51.46673,-0.09625,7411.185083,2
50,51.54605,-0.07513,8182.004799,1
100,51.53076,-0.01223,14527.37585,2
60,51.51915,-0.20747,7298.104446,1
40,51.58716,-0.00229,17467.81323,1
80,51.47839,-0.10839,5542.614641,1
50,51.62366,-0.02033,18117.07367,1
19,51.56607,0.01855,18720.62682,1
30,51.56971,0.01597,18575.33226,1
78,51.55012,-0.07125,8766.311592,1
65,51.41814,-0.07694,12993.96476,1
45,51.53986,-0.0223,13583.47673,1
152,51.49636,-0.00778,15066.39337,1
115,51.53446,-0.0996,5171.545976,1
75,51.47814,-0.16645,4943.770058,3
31,51.56434,0.02424,19269.36726,2
66,51.53567,-0.0726,8039.252342,1
150,51.5218,-0.22172,8899.60732,1
65,51.60547,0.05412,23999.97256,1
30,51.58187,-0.07616,10411.95423,1
40,51.57552,0.08771,26402.29173,1
50,51.65405,-0.03301,19620.783,1
72.5,51.51323,-0.13279,1043.17689,2
150,51.54895,-0.08916,6964.80221,1
49,51.54814,-0.08417,7393.493502,1
40,51.4478,-0.03822,13758.1473,1
50,51.50706,-0.32647,20537.53301,1
36,51.47412,-0.01103,15259.23268,1
38,51.54066,0.03108,19446.8709,1
53,51.56493,-0.13403,5594.731123,1
500,51.51299,-0.19159,5525.068595,1
49,51.51237,-0.13208,1143.364757,1
140,51.51142,-0.18868,5213.169262,1
40,51.54963,-0.14793,3880.980034,3
78,51.55008,-0.073,8590.222483,1
48,51.46767,-0.16042,5674.435133,1
50,51.53975,-0.17057,4189.440886,1
38,51.52271,-0.20559,7124.661055,1
85,51.51984,-0.02253,13289.07463,1
85,51.53761,-0.09928,5357.321519,1
50,51.54443,-0.04867,10868.47816,1
90,51.48734,-0.13916,3118.169547,1
93,51.52522,-0.08438,6497.243288,1
59,51.60316,-0.11176,10336.34305,1
30,51.5701,0.07929,25346.05729,1
85,51.41859,-0.23031,14561.28556,1
